Truckstop Name,Address,City,State,lat,lon,Retail Price
Mega_Stop_70,717 Highway Blvd,City_324,CA,37.9618,-122.8812,3.14
Mega_Stop_71,6357 Highway Blvd,City_474,OH,39.325,-114.9325,3.21
Mega_Stop_72,5372 Highway Blvd,City_50,OH,39.9585,-75.1401,3.04
Mega_Stop_73,9646 Highway Blvd,City_184,TX,43.5631,-96.7992,4.4
Mega_Stop_74,5290 Highway Blvd,City_440,PA,37.6751,-101.0918,4.73
Mega_Stop_75,1581 Highway Blvd,City_45,OH,37.1612,-108.8312,4.44
Mega_Stop_76,9976 Highway Blvd,City_42,PA,43.2736,-102.0147,4.21
Mega_Stop_77,6458 Highway Blvd,City_237,NC,37.6039,-95.5252,4.97
Mega_Stop_78,5971 Highway Blvd,City_76,OH,24.8759,-98.6024,4.5
Mega_Stop_79,4973 Highway Blvd,City_441,GA,44.2659,-92.0653,3.68
Mega_Stop_80,8292 Highway Blvd,City_19,OH,47.3622,-93.3972,4.93
Mega_Stop_81,8601 Highway Blvd,City_244,NC,25.4579,-121.365,3.44
Mega_Stop_82,5458 Highway Blvd,City_369,IL,32.445,-76.3032,3.23
Mega_Stop_83,9758 Highway Blvd,City_487,NY,38.1705,-113.8399,4.84
Mega_Stop_84,4148 Highway Blvd,City_337,CA,41.3526,-93.3193,3.85
Mega_Stop_85,4066 Highway Blvd,City_474,CA,27.4932,-87.9984,4.55
Mega_Stop_86,7041 Highway Blvd,City_305,CA,31.4017,-71.0961,3.09
Mega_Stop_87,9061 Highway Blvd,City_180,TX,48.8154,-73.5712,4.13
Mega_Stop_88,9239 Highway Blvd,City_242,IL,38.4263,-114.2567,3.09
Mega_Stop_89,8078 Highway Blvd,City_488,FL,44.8796,-82.9116,3.47
Mega_Stop_90,3358 Highway Blvd,City_471,PA,34.5586,-72.5341,3.18
Mega_Stop_91,4489 Highway Blvd,City_410,IL,42.2033,-120.1497,3.46
Mega_Stop_92,3947 Highway Blvd,City_171,GA,39.7663,-73.1345,3.63
Mega_Stop_93,971 Highway Blvd,City_81,CA,32.2771,-118.9626,3.96
Mega_Stop_94,136 Highway Blvd,City_180,MI,43.3548,-73.6851,3.7
Mega_Stop_95,1633 Highway Blvd,City_335,GA,46.1577,-87.3296,3.78
Mega_Stop_96,9434 Highway Blvd,City_89,NC,28.1296,-99.5763,3.51
Mega_Stop_97,1894 Highway Blvd,City_471,IL,42.7629,-81.5018,4.14
Mega_Stop_98,8511 Highway Blvd,City_350,NY,30.8636,-111.9825,3.53
Mega_Stop_99,5209 Highway Blvd,City_351,NY,40.4677,-119.4361,4.97
Mega_Stop_100,165 Highway Blvd,City_488,FL,28.6194,-89.6893,3.75
Mega_Stop_101,9635 Highway Blvd,City_390,OH,42.3497,-88.862,3.69
Mega_Stop_102,6973 Highway Blvd,City_354,OH,46.5522,-95.4288,3.87
Mega_Stop_103,3669 Highway Blvd,City_472,CA,38.5474,-95.6974,3.28
Mega_Stop_104,5098 Highway Blvd,City_219,NC,42.8416,-76.2996,4.89
Mega_Stop_105,3906 Highway Blvd,City_94,NC,41.0151,-117.6102,3.2
Mega_Stop_106,5774 Highway Blvd,City_328,IL,25.9912,-111.979,4.92
Mega_Stop_107,6962 Highway Blvd,City_403,NY,32.3388,-124.3613,3.21
Mega_Stop_108,8141 Highway Blvd,City_339,NC,36.3025,-93.6617,4.09
Mega_Stop_109,3270 Highway Blvd,City_4,FL,41.7718,-106.5977,3.9
Mega_Stop_110,874 Highway Blvd,City_450,TX,36.2098,-85.8611,3.63
Mega_Stop_111,8512 Highway Blvd,City_366,TX,24.1554,-113.7697,3.49
Mega_Stop_112,7105 Highway Blvd,City_120,GA,34.4591,-114.8795,4.64
Mega_Stop_113,4914 Highway Blvd,City_294,NY,38.858,-73.0447,4.06
Mega_Stop_114,9234 Highway Blvd,City_259,CA,29.3299,-73.9742,4.41
Mega_Stop_115,2736 Highway Blvd,City_403,OH,46.4993,-81.6451,3.01
Mega_Stop_116,8986 Highway Blvd,City_316,OH,40.1936,-70.5328,4.69
Mega_Stop_117,3592 Highway Blvd,City_403,MI,35.2193,-111.8381,4.06
Mega_Stop_118,5956 Highway Blvd,City_216,FL,43.6261,-111.8914,3.96
Mega_Stop_119,8675 Highway Blvd,City_279,TX,37.0759,-108.91,4.37
Mega_Stop_120,6731 Highway Blvd,City_171,PA,25.3649,-114.0738,4.34
Mega_Stop_121,9605 Highway Blvd,City_61,FL,42.3287,-84.5646,3.59
Mega_Stop_122,9765 Highway Blvd,City_289,GA,25.786,-90.4185,3.0
Mega_Stop_123,285 Highway Blvd,City_92,NY,24.3681,-99.0556,4.13
Mega_Stop_124,415 Highway Blvd,City_366,NY,26.086,-74.9164,4.09
Mega_Stop_125,1752 Highway Blvd,City_392,FL,42.6409,-114.4956,3.56
Mega_Stop_126,7826 Highway Blvd,City_312,FL,35.3715,-71.3682,3.58
Mega_Stop_127,162 Highway Blvd,City_120,NY,47.6778,-112.1304,4.41
Mega_Stop_128,6255 Highway Blvd,City_419,IL,37.8625,-124.2985,3.09
Mega_Stop_129,5189 Highway Blvd,City_366,CA,24.4321,-121.4818,3.22
Mega_Stop_130,3165 Highway Blvd,City_134,IL,36.3884,-87.5246,4.95
Mega_Stop_131,4719 Highway Blvd,City_15,IL,44.739,-78.6783,4.45
Mega_Stop_132,8956 Highway Blvd,City_365,FL,46.8624,-105.04,4.88
Mega_Stop_133,2843 Highway Blvd,City_46,GA,42.9365,-94.3234,3.31
Mega_Stop_134,6091 Highway Blvd,City_465,CA,44.9534,-73.4541,3.03
Mega_Stop_135,2332 Highway Blvd,City_332,IL,46.7988,-119.3108,4.25
Mega_Stop_136,6193 Highway Blvd,City_397,OH,34.5246,-121.0826,4.78
Mega_Stop_137,6861 Highway Blvd,City_66,PA,39.975,-69.8149,3.85
Mega_Stop_138,5642 Highway Blvd,City_67,NY,31.9674,-89.2264,4.39
Mega_Stop_139,824 Highway Blvd,City_150,IL,26.1788,-96.421,4.28
Mega_Stop_140,7223 Highway Blvd,City_64,MI,36.248,-97.7115,4.22
Mega_Stop_141,3013 Highway Blvd,City_473,NY,43.5365,-117.1022,3.67
Mega_Stop_142,5306 Highway Blvd,City_120,PA,44.3329,-73.4647,4.03
Mega_Stop_143,4311 Highway Blvd,City_385,GA,48.4742,-110.61,4.02
Mega_Stop_144,3536 Highway Blvd,City_439,IL,42.8415,-108.8118,4.07
Mega_Stop_145,7330 Highway Blvd,City_309,GA,24.7084,-82.2961,4.62
Mega_Stop_146,7294 Highway Blvd,City_95,FL,34.0587,-124.9918,3.4
Mega_Stop_147,8962 Highway Blvd,City_362,OH,27.8646,-73.4021,4.34
Mega_Stop_148,6759 Highway Blvd,City_455,OH,34.4054,-111.8062,3.76
Mega_Stop_149,1808 Highway Blvd,City_163,MI,34.2899,-85.76,4.82
Mega_Stop_150,4349 Highway Blvd,City_32,IL,37.5763,-72.2107,3.71
Mega_Stop_151,4334 Highway Blvd,City_34,GA,35.9576,-104.6389,4.6
Mega_Stop_152,9271 Highway Blvd,City_485,TX,45.3387,-67.7453,4.53
Mega_Stop_153,2629 Highway Blvd,City_158,PA,46.585,-73.3544,4.13
Mega_Stop_154,1860 Highway Blvd,City_127,PA,41.6278,-108.8132,4.25
Mega_Stop_155,7704 Highway Blvd,City_350,PA,45.976,-113.5743,3.7
Mega_Stop_156,6346 Highway Blvd,City_50,GA,39.1611,-73.5861,3.03
Mega_Stop_157,6598 Highway Blvd,City_352,MI,30.9478,-76.1861,4.91
Mega_Stop_158,3591 Highway Blvd,City_417,NC,38.755,-102.6101,4.91
Mega_Stop_159,4390 Highway Blvd,City_349,PA,47.1207,-82.7277,3.68
Mega_Stop_160,7284 Highway Blvd,City_313,OH,44.2415,-98.8996,4.95
Mega_Stop_161,3530 Highway Blvd,City_148,NY,37.8482,-121.3213,4.47
Mega_Stop_162,2767 Highway Blvd,City_447,PA,45.9922,-105.0857,3.12
Mega_Stop_163,4194 Highway Blvd,City_195,PA,43.4213,-106.8805,3.07
Mega_Stop_164,9590 Highway Blvd,City_429,PA,31.9975,-105.0403,3.71
Mega_Stop_165,4300 Highway Blvd,City_430,PA,25.4579,-93.8668,3.56
Mega_Stop_166,6317 Highway Blvd,City_222,GA,34.0935,-67.1082,3.51
Mega_Stop_167,4537 Highway Blvd,City_296,FL,30.2842,-113.2703,4.48
Mega_Stop_168,9865 Highway Blvd,City_418,TX,45.0732,-74.9265,3.87
Mega_Stop_169,9514 Highway Blvd,City_132,IL,41.4479,-114.1986,3.67
Mega_Stop_170,8521 Highway Blvd,City_210,MI,48.0222,-73.6988,3.99
Mega_Stop_171,5504 Highway Blvd,City_224,GA,39.264,-108.8391,3.09
Mega_Stop_172,744 Highway Blvd,City_149,CA,36.6707,-74.0954,3.22
Mega_Stop_173,9136 Highway Blvd,City_302,OH,34.32,-111.6597,4.33
Mega_Stop_174,2530 Highway Blvd,City_180,FL,32.9076,-107.9415,4.45
Mega_Stop_175,6959 Highway Blvd,City_147,FL,42.2662,-72.7799,3.62
Mega_Stop_176,518 Highway Blvd,City_53,FL,29.2169,-103.0247,4.73
Mega_Stop_177,2343 Highway Blvd,City_120,CA,39.8852,-78.7758,3.58
Mega_Stop_178,3083 Highway Blvd,City_327,FL,26.2564,-100.5366,4.47
Mega_Stop_179,3668 Highway Blvd,City_55,FL,25.6393,-119.782,4.21
Mega_Stop_180,1924 Highway Blvd,City_111,NY,41.3905,-89.3271,4.12
Mega_Stop_181,9535 Highway Blvd,City_45,MI,44.8272,-103.2093,4.82
Mega_Stop_182,2256 Highway Blvd,City_75,MI,25.3275,-101.4998,4.3
Mega_Stop_183,4340 Highway Blvd,City_248,OH,28.2293,-124.3091,3.14
Mega_Stop_184,396 Highway Blvd,City_450,PA,34.3826,-105.422,3.27
Mega_Stop_185,2012 Highway Blvd,City_303,FL,38.65,-117.1633,3.08
Mega_Stop_186,3146 Highway Blvd,City_9,NY,28.7475,-118.7389,3.19
Mega_Stop_187,4466 Highway Blvd,City_43,OH,25.5001,-115.1883,4.04
Mega_Stop_188,785 Highway Blvd,City_64,NY,26.087,-105.1461,3.28
Mega_Stop_189,3793 Highway Blvd,City_118,TX,35.3241,-109.3025,4.52
Mega_Stop_190,2898 Highway Blvd,City_391,TX,35.245,-124.4428,3.14
Mega_Stop_191,5394 Highway Blvd,City_114,MI,44.6019,-83.4557,3.18
Mega_Stop_192,4837 Highway Blvd,City_145,MI,37.0475,-105.8933,3.99
Mega_Stop_193,1452 Highway Blvd,City_367,CA,32.6994,-117.2476,3.89
Mega_Stop_194,6684 Highway Blvd,City_430,IL,27.9067,-112.7374,4.02
Mega_Stop_195,6326 Highway Blvd,City_350,OH,48.7573,-104.5827,3.93
Mega_Stop_196,1202 Highway Blvd,City_39,NC,30.3862,-102.7502,3.21
Mega_Stop_197,7497 Highway Blvd,City_247,NC,35.2435,-118.8345,3.83
Mega_Stop_198,1444 Highway Blvd,City_496,PA,44.4555,-106.5075,4.71
Mega_Stop_199,6203 Highway Blvd,City_422,OH,40.5451,-123.726,3.95
Mega_Stop_200,5845 Highway Blvd,City_254,NY,40.2799,-113.6295,4.77
Mega_Stop_201,1948 Highway Blvd,City_208,NY,41.2962,-101.4805,4.98
Mega_Stop_202,4582 Highway Blvd,City_198,FL,36.9487,-105.4516,4.14
Mega_Stop_203,5730 Highway Blvd,City_218,MI,29.1099,-102.4059,4.74
Mega_Stop_204,4091 Highway Blvd,City_55,TX,37.3122,-99.9751,4.3
Mega_Stop_205,5235 Highway Blvd,City_318,TX,39.8728,-114.357,3.64
Mega_Stop_206,5157 Highway Blvd,City_162,CA,39.563,-106.6059,4.71
Mega_Stop_207,3045 Highway Blvd,City_401,CA,39.1798,-91.6583,3.08
Mega_Stop_208,8768 Highway Blvd,City_413,OH,28.8874,-93.4639,3.66
Mega_Stop_209,9023 Highway Blvd,City_150,GA,47.127,-106.4819,3.1
Mega_Stop_210,7216 Highway Blvd,City_253,NC,31.9675,-90.5434,3.57
Mega_Stop_211,8782 Highway Blvd,City_206,GA,28.8249,-96.7469,3.61
Mega_Stop_212,2529 Highway Blvd,City_120,NC,46.8262,-91.182,3.65
Mega_Stop_213,3584 Highway Blvd,City_453,TX,31.6689,-67.7226,3.81
Mega_Stop_214,4366 Highway Blvd,City_118,IL,25.4265,-107.7524,3.9
Mega_Stop_215,4147 Highway Blvd,City_390,TX,38.0899,-113.7718,4.99
Mega_Stop_216,7629 Highway Blvd,City_75,NC,33.1627,-71.1181,3.19
Mega_Stop_217,6516 Highway Blvd,City_294,MI,45.8348,-84.6728,4.19
Mega_Stop_218,8939 Highway Blvd,City_403,NC,30.9548,-121.7462,4.88
Mega_Stop_219,2219 Highway Blvd,City_396,NY,25.2839,-100.0989,4.74
Mega_Stop_220,166 Highway Blvd,City_347,MI,36.2301,-100.5712,4.6
Mega_Stop_221,6282 Highway Blvd,City_204,PA,41.3691,-117.5933,3.03
Mega_Stop_222,3642 Highway Blvd,City_408,NC,41.0744,-116.9669,4.33
Mega_Stop_223,4866 Highway Blvd,City_27,OH,43.6659,-110.8443,3.01
Mega_Stop_224,2610 Highway Blvd,City_184,IL,44.5935,-117.4232,3.17
Mega_Stop_225,3957 Highway Blvd,City_147,FL,43.2839,-71.562,3.32
Mega_Stop_226,2344 Highway Blvd,City_287,FL,43.271,-97.4255,3.35
Mega_Stop_227,3502 Highway Blvd,City_28,TX,41.7815,-70.1501,3.63
Mega_Stop_228,4020 Highway Blvd,City_480,MI,38.7857,-119.4563,3.56
Mega_Stop_229,3686 Highway Blvd,City_38,NC,41.7477,-100.6094,3.97
Mega_Stop_230,520 Highway Blvd,City_205,IL,30.4779,-102.3015,4.48
Mega_Stop_231,8374 Highway Blvd,City_455,NY,39.8339,-73.1603,4.58
Mega_Stop_232,5661 Highway Blvd,City_105,OH,48.0824,-115.5277,4.06
Mega_Stop_233,6434 Highway Blvd,City_95,GA,41.3918,-109.8878,3.7
Mega_Stop_234,8711 Highway Blvd,City_120,IL,39.542,-73.6733,3.41
Mega_Stop_235,492 Highway Blvd,City_407,PA,27.4769,-110.6407,3.31
Mega_Stop_236,2766 Highway Blvd,City_167,NC,33.2954,-67.449,3.07
Mega_Stop_237,4058 Highway Blvd,City_448,OH,35.5589,-111.0401,3.3
Mega_Stop_238,6553 Highway Blvd,City_493,FL,40.9294,-117.8496,4.44
Mega_Stop_239,1267 Highway Blvd,City_371,FL,37.7063,-85.9299,4.84
Mega_Stop_240,4689 Highway Blvd,City_364,GA,36.0703,-112.8157,4.99
Mega_Stop_241,1376 Highway Blvd,City_227,NY,42.7268,-82.0137,4.36
Mega_Stop_242,207 Highway Blvd,City_137,CA,43.3753,-112.2294,3.67
Mega_Stop_243,3548 Highway Blvd,City_10,CA,30.2633,-113.8463,4.64
Mega_Stop_244,5362 Highway Blvd,City_55,FL,27.2083,-114.1498,4.83
Mega_Stop_245,7283 Highway Blvd,City_43,PA,28.4287,-81.3708,3.2
Mega_Stop_246,958 Highway Blvd,City_400,GA,38.486,-77.7974,3.4
Mega_Stop_247,7771 Highway Blvd,City_243,CA,39.6572,-110.8326,4.12
Mega_Stop_248,1963 Highway Blvd,City_26,NY,26.0869,-94.4723,3.34
Mega_Stop_249,6553 Highway Blvd,City_327,NY,24.9733,-91.3627,3.63
Mega_Stop_250,9721 Highway Blvd,City_134,MI,44.0014,-103.717,4.64
Mega_Stop_251,9820 Highway Blvd,City_336,NY,32.5495,-98.7087,4.02
Mega_Stop_252,3236 Highway Blvd,City_92,NY,31.8213,-67.01,4.32
Mega_Stop_253,177 Highway Blvd,City_146,CA,34.6237,-112.2989,4.28
Mega_Stop_254,1261 Highway Blvd,City_464,MI,33.3502,-99.7363,3.75
Mega_Stop_255,6728 Highway Blvd,City_27,FL,29.5037,-96.187,4.21
Mega_Stop_256,5011 Highway Blvd,City_470,OH,43.5106,-75.7355,3.73
Mega_Stop_257,3725 Highway Blvd,City_478,IL,46.4968,-78.2714,3.97
Mega_Stop_258,6989 Highway Blvd,City_351,GA,31.3825,-88.2188,4.66
Mega_Stop_259,4209 Highway Blvd,City_98,GA,27.3531,-89.6624,4.02
Mega_Stop_260,7600 Highway Blvd,City_228,MI,31.2439,-104.9088,4.5
Mega_Stop_261,4438 Highway Blvd,City_381,PA,35.0629,-84.9648,4.77
Mega_Stop_262,7692 Highway Blvd,City_249,NC,31.706,-121.2193,4.03
Mega_Stop_263,4478 Highway Blvd,City_443,NY,30.0322,-70.044,4.5
Mega_Stop_264,358 Highway Blvd,City_338,IL,26.178,-84.6965,3.79
Mega_Stop_265,9434 Highway Blvd,City_179,NY,40.6766,-87.129,4.76
Mega_Stop_266,3122 Highway Blvd,City_267,MI,43.6349,-89.2317,4.22
Mega_Stop_267,3687 Highway Blvd,City_187,GA,27.5526,-116.1394,3.92
Mega_Stop_268,8886 Highway Blvd,City_81,OH,36.2254,-74.767,3.79
Mega_Stop_269,4771 Highway Blvd,City_437,OH,29.9412,-70.0176,4.35
Mega_Stop_270,2756 Highway Blvd,City_97,MI,40.2989,-108.7182,4.91
Mega_Stop_271,3130 Highway Blvd,City_328,IL,35.7731,-108.5151,3.31
Mega_Stop_272,6599 Highway Blvd,City_188,IL,32.15,-123.3078,3.84
Mega_Stop_273,7228 Highway Blvd,City_10,NC,46.3731,-102.7621,4.86
Mega_Stop_274,306 Highway Blvd,City_272,TX,47.0822,-101.108,4.23
Mega_Stop_275,6328 Highway Blvd,City_480,PA,35.1029,-116.0341,3.43
Mega_Stop_276,5927 Highway Blvd,City_408,IL,40.5045,-90.4636,3.52
Mega_Stop_277,9066 Highway Blvd,City_178,NC,41.0171,-76.7425,4.83
Mega_Stop_278,9741 Highway Blvd,City_83,NY,26.0141,-103.6273,3.7
Mega_Stop_279,2006 Highway Blvd,City_350,FL,40.9678,-68.8614,3.03
Mega_Stop_280,3214 Highway Blvd,City_23,MI,30.6114,-81.7836,3.28
Mega_Stop_281,9600 Highway Blvd,City_18,OH,30.8966,-106.457,3.89
Mega_Stop_282,2163 Highway Blvd,City_247,MI,29.3934,-99.9683,4.98
Mega_Stop_283,5126 Highway Blvd,City_228,PA,27.3693,-78.2449,3.91
Mega_Stop_284,4231 Highway Blvd,City_454,GA,31.1419,-84.0518,3.19
Mega_Stop_285,4006 Highway Blvd,City_260,TX,47.0337,-76.3323,3.41
Mega_Stop_286,7864 Highway Blvd,City_451,NY,37.017,-91.8158,4.11
Mega_Stop_287,8014 Highway Blvd,City_495,IL,47.7957,-67.051,3.55
Mega_Stop_288,1378 Highway Blvd,City_232,GA,42.9277,-120.736,4.7
Mega_Stop_289,865 Highway Blvd,City_189,GA,38.2051,-74.3885,4.39
Mega_Stop_290,2709 Highway Blvd,City_167,IL,42.2833,-94.2477,3.67
Mega_Stop_291,8026 Highway Blvd,City_31,IL,32.6435,-115.8579,3.96
Mega_Stop_292,6481 Highway Blvd,City_109,PA,32.5783,-113.9223,4.34
Mega_Stop_293,8468 Highway Blvd,City_252,CA,27.6981,-100.942,4.42
Mega_Stop_294,9315 Highway Blvd,City_470,MI,45.0307,-71.3054,3.07
Mega_Stop_295,2087 Highway Blvd,City_489,CA,48.8929,-86.4006,4.94
Mega_Stop_296,3434 Highway Blvd,City_382,CA,36.6962,-107.6997,4.67
Mega_Stop_297,5705 Highway Blvd,City_192,GA,45.3568,-89.4411,4.21
Mega_Stop_298,2662 Highway Blvd,City_125,MI,40.0747,-108.8456,4.1
Mega_Stop_299,1664 Highway Blvd,City_250,CA,42.0815,-102.0351,4.84
Mega_Stop_300,4151 Highway Blvd,City_286,PA,38.8063,-94.2001,3.06
Mega_Stop_301,6006 Highway Blvd,City_37,NC,33.9021,-67.1247,4.53
Mega_Stop_302,5826 Highway Blvd,City_241,IL,38.9392,-109.8301,3.16
Mega_Stop_303,3234 Highway Blvd,City_83,FL,25.2091,-114.9149,3.38
Mega_Stop_304,8748 Highway Blvd,City_172,NY,38.3916,-105.5356,4.11
Mega_Stop_305,7658 Highway Blvd,City_54,CA,28.0217,-96.9003,3.48
Mega_Stop_306,8513 Highway Blvd,City_419,NY,32.9216,-107.5557,3.35
Mega_Stop_307,1709 Highway Blvd,City_478,CA,24.8907,-74.9821,4.83
Mega_Stop_308,2000 Highway Blvd,City_307,IL,29.545,-121.7559,3.08
Mega_Stop_309,3209 Highway Blvd,City_330,CA,30.5035,-114.438,3.08
Mega_Stop_310,524 Highway Blvd,City_225,FL,48.3763,-69.6769,4.78
Mega_Stop_311,1070 Highway Blvd,City_81,PA,25.5219,-113.7978,3.99
Mega_Stop_312,6260 Highway Blvd,City_44,CA,25.2561,-117.026,3.95
Mega_Stop_313,8807 Highway Blvd,City_453,TX,36.2604,-82.7266,3.64
Mega_Stop_314,8903 Highway Blvd,City_418,NY,37.8261,-108.8307,4.16
Mega_Stop_315,8758 Highway Blvd,City_42,MI,42.5328,-73.5914,3.87
Mega_Stop_316,9589 Highway Blvd,City_99,IL,36.2674,-124.2308,3.03
Mega_Stop_317,3807 Highway Blvd,City_187,NY,28.2034,-112.7934,3.66
Mega_Stop_318,349 Highway Blvd,City_8,IL,36.3414,-82.0791,3.45
Mega_Stop_319,4391 Highway Blvd,City_201,GA,46.2147,-117.5483,3.87
Mega_Stop_320,2456 Highway Blvd,City_240,NY,30.5676,-113.3586,4.03
Mega_Stop_321,5152 Highway Blvd,City_273,FL,31.4411,-99.4191,3.88
Mega_Stop_322,7416 Highway Blvd,City_445,CA,48.8537,-98.2015,4.36
Mega_Stop_323,2450 Highway Blvd,City_240,PA,45.7154,-105.0944,3.45
Mega_Stop_324,1734 Highway Blvd,City_17,NY,43.7013,-94.633,4.98
Mega_Stop_325,6110 Highway Blvd,City_444,IL,33.3254,-118.362,4.43
